git_sha,git_sha_short,git_dirty,features,cpu,cores,rustc,mode,iters,warmup,threads,inputs,jit_requested,jit_fast_regs,jit_active,large_pages_requested,large_pages_1gb_requested,large_pages_dataset,large_pages_1gb_dataset,large_pages_scratchpad,large_pages_1gb_scratchpad,thread_names,affinity,hashes,elapsed_ns,ns_per_hash,hashes_per_sec,cache_init_ns,dataset_init_ns,program_gen_ns,prepare_iteration_ns,execute_program_ns_interpreter,execute_program_ns_jit,finish_iteration_ns,program_execs,scratchpad_read_bytes,scratchpad_write_bytes,dataset_item_loads,mem_read_l1,mem_read_l2,mem_read_l3,mem_write_l1,mem_write_l2,mem_write_l3,instr_int,instr_float,instr_mem,instr_ctrl,instr_store,jit_get_or_compile_calls,jit_exec_calls,jit_program_execs,jit_helper_calls_float,jit_helper_calls_cbranch,jit_fastregs_spill_count,jit_fastregs_reload_count,jit_fastregs_sync_to_ctx_count,jit_fastregs_sync_from_ctx_count,jit_fastregs_call_boundary_count,jit_fastregs_call_boundary_float_nomem,jit_fastregs_call_boundary_float_mem,jit_fastregs_call_boundary_prepare_finish,jit_fastregs_preserve_spill_count,jit_fastregs_preserve_reload_count,jit_compiles_total,jit_cache_hits_total,jit_cache_misses_total,jit_cache_evictions_total,jit_compile_ns_total,jit_compiles_measured,jit_cache_hits_measured,jit_cache_misses_measured,jit_cache_evictions_measured,jit_compile_ns_measured,instrumented,prefetch,prefetch_distance,prefetch_auto_tune,scratchpad_prefetch_distance,jit_fastregs_prepare_ns,jit_fastregs_finish_ns,jit_fastregs_light_cache_item_helper_calls,jit_fastregs_light_cache_item_helper_ns,finish_addr_select_ns,finish_prefetch_ns,finish_dataset_item_load_ns,finish_light_cache_item_ns,finish_r_xor_ns,finish_store_int_ns,finish_f_xor_e_ns,finish_store_fp_ns
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),light,10,2,4,6,false,false,false,false,false,n/a,n/a,false,false,false,off,60,28006910186,466781836,2.142328434562308,1342782861,n/a,3000102,182448920,5390439985,0,22129755343,983040,440887360,259663680,0,27315630,9214610,2852040,11187100,3776570,1765650,94999640,91135680,25402810,23951340,16729320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,2,false,0,0,0,0,0,39583833,36478916,0,21578652522,39063957,41772915,37115186,38823716
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),light,10,2,4,6,false,false,false,false,false,n/a,n/a,false,false,false,off,60,28395801233,473263353,2.1129884527526475,1248242118,n/a,2930249,183709709,5388066438,0,22516804278,983040,440887360,259663680,0,27315630,9214610,2852040,11187100,3776570,1765650,94999640,91135680,25402810,23951340,16729320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,2,false,0,0,0,0,0,37882630,35908418,0,21967687702,38676317,41311919,37567199,39231963
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),light,10,2,4,6,false,false,false,false,false,n/a,n/a,false,false,false,off,60,27971816490,466196941,2.1450162196581206,1476245596,n/a,2960534,184871290,5364687586,0,22124913004,983040,440887360,259663680,0,27315630,9214610,2852040,11187100,3776570,1765650,94999640,91135680,25402810,23951340,16729320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,true,2,false,0,0,0,0,0,37569574,35796438,0,21586907385,33499579,40081095,32544891,37246024
