git_sha,git_sha_short,git_dirty,features,cpu,cores,rustc,mode,iters,warmup,threads,inputs,jit_requested,jit_fast_regs,jit_active,large_pages_requested,large_pages_1gb_requested,large_pages_dataset,large_pages_1gb_dataset,large_pages_scratchpad,large_pages_1gb_scratchpad,thread_names,affinity,hashes,elapsed_ns,ns_per_hash,hashes_per_sec,cache_init_ns,dataset_init_ns,program_gen_ns,prepare_iteration_ns,execute_program_ns_interpreter,execute_program_ns_jit,finish_iteration_ns,program_execs,scratchpad_read_bytes,scratchpad_write_bytes,dataset_item_loads,mem_read_l1,mem_read_l2,mem_read_l3,mem_write_l1,mem_write_l2,mem_write_l3,instr_int,instr_float,instr_mem,instr_ctrl,instr_store,jit_get_or_compile_calls,jit_exec_calls,jit_program_execs,jit_helper_calls_float,jit_helper_calls_cbranch,jit_fastregs_spill_count,jit_fastregs_reload_count,jit_fastregs_sync_to_ctx_count,jit_fastregs_sync_from_ctx_count,jit_fastregs_call_boundary_count,jit_fastregs_call_boundary_float_nomem,jit_fastregs_call_boundary_float_mem,jit_fastregs_call_boundary_prepare_finish,jit_fastregs_preserve_spill_count,jit_fastregs_preserve_reload_count,jit_compiles_total,jit_cache_hits_total,jit_cache_misses_total,jit_cache_evictions_total,jit_compile_ns_total,jit_compiles_measured,jit_cache_hits_measured,jit_cache_misses_measured,jit_cache_evictions_measured,jit_compile_ns_measured,instrumented,prefetch,prefetch_distance,prefetch_auto_tune,scratchpad_prefetch_distance,jit_fastregs_prepare_ns,jit_fastregs_finish_ns,jit_fastregs_light_cache_item_helper_calls,jit_fastregs_light_cache_item_helper_ns,finish_addr_select_ns,finish_prefetch_ns,finish_dataset_item_load_ns,finish_light_cache_item_ns,finish_r_xor_ns,finish_store_int_ns,finish_f_xor_e_ns,finish_store_fp_ns
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),light,10,2,4,6,true,false,true,false,false,n/a,n/a,false,false,false,off,60,23039720056,383995334,2.6041983103888446,1189373802,n/a,2984659,181599591,0,22890678697,21465781002,983040,440238080,259358720,0,27258880,9195520,2846720,11161600,3768320,1761280,94822400,90931200,25354240,23859200,16691200,480,480,983040,0,0,0,0,0,0,0,0,0,0,0,0,48,528,48,0,7795550,0,480,0,0,0,true,true,2,false,0,0,0,0,0,39848220,35118008,0,20943857956,39466230,39722646,36835291,36709877
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),light,10,2,4,6,true,false,true,false,false,n/a,n/a,false,false,false,off,60,23024732251,383745537,2.6058934986389173,1518696265,n/a,3100831,181890672,0,22867936646,21438952216,983040,440238080,259358720,0,27258880,9195520,2846720,11161600,3768320,1761280,94822400,90931200,25354240,23859200,16691200,480,480,983040,0,0,0,0,0,0,0,0,0,0,0,0,48,528,48,0,8402172,0,480,0,0,0,true,true,2,false,0,0,0,0,0,39704609,35075264,0,20914585336,37192191,39546450,37071717,36855385
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),light,10,2,4,6,true,false,true,false,false,n/a,n/a,false,false,false,off,60,24296717584,404945293,2.4694693759534574,1299951444,n/a,3182201,179471671,0,24135530870,22628777783,983040,440238080,259358720,0,27258880,9195520,2846720,11161600,3768320,1761280,94822400,90931200,25354240,23859200,16691200,480,480,983040,0,0,0,0,0,0,0,0,0,0,0,0,48,528,48,0,8880119,0,480,0,0,0,true,true,2,false,0,0,0,0,0,42261935,36475987,0,22073482549,39309150,41085732,39381292,38004545
