git_sha,git_sha_short,git_dirty,features,cpu,cores,rustc,mode,iters,warmup,threads,inputs,jit_requested,jit_fast_regs,jit_active,large_pages_requested,large_pages_1gb_requested,large_pages_dataset,large_pages_1gb_dataset,large_pages_scratchpad,large_pages_1gb_scratchpad,thread_names,affinity,hashes,elapsed_ns,ns_per_hash,hashes_per_sec,cache_init_ns,dataset_init_ns,program_gen_ns,prepare_iteration_ns,execute_program_ns_interpreter,execute_program_ns_jit,finish_iteration_ns,program_execs,scratchpad_read_bytes,scratchpad_write_bytes,dataset_item_loads,mem_read_l1,mem_read_l2,mem_read_l3,mem_write_l1,mem_write_l2,mem_write_l3,instr_int,instr_float,instr_mem,instr_ctrl,instr_store,jit_get_or_compile_calls,jit_exec_calls,jit_program_execs,jit_helper_calls_float,jit_helper_calls_cbranch,jit_fastregs_spill_count,jit_fastregs_reload_count,jit_fastregs_sync_to_ctx_count,jit_fastregs_sync_from_ctx_count,jit_fastregs_call_boundary_count,jit_fastregs_call_boundary_float_nomem,jit_fastregs_call_boundary_float_mem,jit_fastregs_call_boundary_prepare_finish,jit_fastregs_preserve_spill_count,jit_fastregs_preserve_reload_count,jit_compiles_total,jit_cache_hits_total,jit_cache_misses_total,jit_cache_evictions_total,jit_compile_ns_total,jit_compiles_measured,jit_cache_hits_measured,jit_cache_misses_measured,jit_cache_evictions_measured,jit_compile_ns_measured,instrumented,prefetch,prefetch_distance,prefetch_auto_tune,scratchpad_prefetch_distance,jit_fastregs_prepare_ns,jit_fastregs_finish_ns,jit_fastregs_light_cache_item_helper_calls,jit_fastregs_light_cache_item_helper_ns,finish_addr_select_ns,finish_prefetch_ns,finish_dataset_item_load_ns,finish_light_cache_item_ns,finish_r_xor_ns,finish_store_int_ns,finish_f_xor_e_ns,finish_store_fp_ns
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),fast,10,2,4,6,true,true,true,false,false,false,n/a,false,false,false,off,60,1135210613,18920176,52.85363095988114,1253190305,286838262968,3010961,159575242,0,993385024,218844959,983040,314408960,133529600,0,27258880,9195520,2846720,11161600,3768320,1761280,94822400,90931200,25354240,23859200,16691200,480,480,983040,0,0,3840,3840,3840,3840,0,0,0,0,0,0,48,528,48,0,8048783,0,480,0,0,0,true,true,2,false,0,159575242,218844959,0,0,0,0,0,0,0,0,0,0
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),fast,10,2,4,6,true,true,true,false,false,false,n/a,false,false,false,off,60,1111223786,18520396,53.99452581899437,1259324618,294709743307,2915384,155250228,0,982596190,218125610,983040,314408960,133529600,0,27258880,9195520,2846720,11161600,3768320,1761280,94822400,90931200,25354240,23859200,16691200,480,480,983040,0,0,3840,3840,3840,3840,0,0,0,0,0,0,48,528,48,0,8361960,0,480,0,0,0,true,true,2,false,0,155250228,218125610,0,0,0,0,0,0,0,0,0,0
e40d822dc47aba337cf91cc64ab98530c48ac4df,e40d822,true,"jit,jit-fastregs,bench-instrument",Intel(R) Core(TM) i5-3360M CPU @ 2.80GHz,4,rustc 1.93.0 (254b59607 2026-01-19),fast,10,2,4,6,true,true,true,false,false,false,n/a,false,false,false,off,60,1145704311,19095071,52.36953557281876,1325623448,313420661663,2991786,156694736,0,1000144627,223892130,983040,314408960,133529600,0,27258880,9195520,2846720,11161600,3768320,1761280,94822400,90931200,25354240,23859200,16691200,480,480,983040,0,0,3840,3840,3840,3840,0,0,0,0,0,0,48,528,48,0,8084867,0,480,0,0,0,true,true,2,false,0,156694736,223892130,0,0,0,0,0,0,0,0,0,0
